Order,Type,ID,Title,Poster,Year,Runtime,Phase,Director,Genres,Synopsis,isWatched,isSkipped
11,Movie,the-avengers,The Avengers,avengers1,2012,2h 23m,Phase One,Joss Whedon,"Action, Adventure, Sci-Fi","When an unexpected threat puts Earth in jeopardy, Nick Fury assembles a remarkable team of heroes who must learn to work together to save the world.",FALSE,FALSE
12,One-Shot,item-47,Marvel One-Shot: Item 47,item47,2012,12m,Phase One,Louis D'Esposito,"Action, Adventure, Short","Two ordinary civilians discover abandoned Chitauri technology after the Battle of New York, drawing the attention of S.H.I.E.L.D.",FALSE,FALSE
13,Movie,thor-the-dark-world,Thor: The Dark World,thor2,2013,1h 52m,Phase Two,Alan Taylor,"Action, Adventure, Fantasy","Thor reunites with Jane Foster as an ancient force threatens the Nine Realms, forcing him to confront a powerful enemy from Asgard's past.",FALSE,FALSE
14,Movie,iron-man-3,Iron Man 3,ironman3,2013,2h 10m,Phase Two,Shane Black,"Action, Adventure, Sci-Fi","Still haunted by recent events, Tony Stark faces a mysterious terrorist whose attacks push him to rely on his ingenuity more than ever before.",FALSE,FALSE
15,One-Shot,all-hail-the-king,Marvel One-Shot: All Hail the King,allhailtheking,2014,14m,Phase Two,Drew Pearce,"Action, Adventure, Short","A documentary filmmaker visits Seagate Prison to interview Trevor Slattery, but unexpected visitors have plans of their own.",FALSE,FALSE
16,Movie,captain-america-the-winter-soldier,Captain America: The Winter Soldier,captainamerica2,2014,2h 16m,Phase Two,Anthony Russo & Joe Russo,"Action, Adventure, Thriller","As Steve Rogers adjusts to the modern world, he uncovers a conspiracy that threatens S.H.I.E.L.D. and forces him to question who he can trust.",FALSE,FALSE
17,Movie,guardians-of-the-galaxy,Guardians of the Galaxy,guardians1,2014,2h 1m,Phase Two,James Gunn,"Action, Adventure, Sci-Fi",A group of unlikely outlaws must work together after stealing a mysterious artifact that powerful forces will stop at nothing to obtain.,FALSE,FALSE
18,Movie,guardians-of-the-galaxy-vol-2,Guardians of the Galaxy Vol. 2,guardians2,2017,2h 16m,Phase Three,James Gunn,"Action, Adventure, Sci-Fi","While exploring Peter Quill's mysterious origins, the Guardians discover that family can be both a source of strength and great danger.",FALSE,FALSE
19,Series,i-am-groot-season-1,I Am Groot,iamgroot1,2022,5 Episodes,Phase Four,Kirsten Lepore,"Animation, Comedy, Family","Baby Groot embarks on a series of delightful adventures across the galaxy, meeting unusual creatures and finding trouble in the smallest places.",FALSE,FALSE
20,Series,i-am-groot-season-2,I Am Groot Season 2,iamgroot2,2023,5 Episodes,Phase Five,Kirsten Lepore,"Animation, Comedy, Family","Groot returns for another collection of lighthearted adventures that showcase his curiosity, bravery, and unique charm.",FALSE,FALSE
21,Series,daredevil-season-1,Daredevil,daredevil1,2015,13 Episodes,Phase Two,Drew Goddard,"Action, Crime, Drama",Blind lawyer Matt Murdock fights for justice by day and protects Hell's Kitchen by night as the masked vigilante Daredevil.,FALSE,FALSE
22,Series,jessica-jones-season-1,Jessica Jones,jessicajones1,2015,13 Episodes,Phase Two,Melissa Rosenberg,"Action, Crime, Drama",A private investigator with extraordinary abilities is forced to confront the traumatic past she has spent years trying to escape.,FALSE,FALSE
23,Movie,avengers-age-of-ultron,Avengers: Age of Ultron,avengers2,2015,2h 21m,Phase Two,Joss Whedon,"Action, Adventure, Sci-Fi","When an ambitious peacekeeping program goes terribly wrong, Earth's Mightiest Heroes must unite against a powerful new enemy of their own making.",FALSE,FALSE
24,Movie,ant-man,Ant-Man,antman1,2015,1h 57m,Phase Two,Peyton Reed,"Action, Adventure, Comedy","Master thief Scott Lang gains an extraordinary suit that allows him to shrink in size while increasing in strength, giving him a chance at redemption.",FALSE,FALSE
25,Series,daredevil-season-2,Daredevil Season 2,daredevil2,2016,13 Episodes,Phase Three,Doug Petrie & Marco Ramirez,"Action, Crime, Drama",New allies and dangerous enemies challenge Matt Murdock as Hell's Kitchen becomes more dangerous than ever.,FALSE,FALSE
26,Series,luke-cage-season-1,Luke Cage,lukecage1,2016,13 Episodes,Phase Three,Cheo Hodari Coker,"Action, Crime, Drama","After a failed experiment leaves him with unbreakable skin and superhuman strength, Luke Cage becomes an unlikely hero in Harlem.",FALSE,FALSE
27,Series,iron-fist-season-1,Iron Fist,ironfist1,2017,13 Episodes,Phase Three,Scott Buck,"Action, Adventure, Drama","Danny Rand returns to New York after years away, determined to reclaim his family's legacy while mastering the mystical power of the Iron Fist.",FALSE,FALSE
28,Series,the-defenders,The Defenders,defenders1,2017,8 Episodes,Phase Three,Doug Petrie & Marco Ramirez,"Action, Crime, Drama",New York's street-level heroes unite to confront a powerful organization that threatens the city.,FALSE,FALSE
29,Movie,captain-america-civil-war,Captain America: Civil War,captainamerica3,2016,2h 27m,Phase Three,Anthony Russo & Joe Russo,"Action, Adventure,Sci-Fi","Political pressure divides the Avengers, forcing friends to choose sides as an internal conflict threatens to tear the team apart.",FALSE,FALSE
30,Movie,black-widow,Black Widow,blackwidow,2021,2h 14m,Phase Four,Cate Shortland,"Action, Adventure, Spy",Natasha Romanoff confronts unfinished business from her past when a dangerous conspiracy forces her back into the world she tried to leave behind.,FALSE,FALSE
31,Movie,black-panther,Black Panther,blackpanther1,2018,2h 14m,Phase Three,Ryan Coogler,"Action, Adventure, Sci-Fi","Returning home to Wakanda as king, T'Challa faces challenges that test his leadership and the future of his nation.",FALSE,FALSE
32,Movie,spider-man-homecoming,Spider-Man: Homecoming,spidermanhomecoming,2017,2h 13m,Phase Three,Jon Watts,"Action, Adventure, Sci-Fi","Eager to prove himself as a hero, Peter Parker balances everyday life with the opportunity to become something greater.",FALSE,FALSE
33,Series,the-punisher-season-1,The Punisher,thepunisher1,2017,13 Episodes,Phase Three,Steve Lightfoot,"Action, Crime, Drama",Frank Castle uncovers a military conspiracy while seeking justice for the loss of his family.,FALSE,FALSE
34,Movie,doctor-strange,Doctor Strange,doctorstrange1,2016,1h 55m,Phase Three,Scott Derrickson,"Action, Adventure, Fantasy",A brilliant surgeon discovers a hidden world of mystic arts after a life-changing accident sends him on an unexpected path.,FALSE,FALSE
35,Series,jessica-jones-season-2,Jessica Jones Season 2,jessicajones2,2018,13 Episodes,Phase Three,Melissa Rosenberg,"Action, Crime, Drama",Jessica investigates the origins of her extraordinary abilities while confronting painful truths from her past.,FALSE,FALSE
36,Series,luke-cage-season-2,Luke Cage Season 2,lukecage2,2018,13 Episodes,Phase Three,Cheo Hodari Coker,"Action, Crime, Drama",Luke struggles with the responsibilities of being Harlem's protector as new threats challenge his values.,FALSE,FALSE
37,Series,iron-fist-season-2,Iron Fist Season 2,ironfist2,2018,10 Episodes,Phase Three,M. Raven Metzner,"Action, Adventure, Drama",Danny Rand continues protecting New York while facing enemies connected to his past and the legacy of the Iron Fist.,FALSE,FALSE
38,Series,daredevil-season-3,Daredevil Season 3,daredevil3,2018,13 Episodes,Phase Three,Erik Oleson,"Action, Crime, Drama","Broken in body and spirit, Matt Murdock must rise once again to protect Hell's Kitchen from an old enemy.",FALSE,FALSE
39,Movie,thor-ragnarok,Thor: Ragnarok,thor3,2017,2h 10m,Phase Three,Taika Waititi,"Action, Adventure, Comedy","Imprisoned far from Asgard, Thor races against time to prevent the destruction of his home and stop a powerful new ruler.",FALSE,FALSE
40,Series,the-punisher-season-2,The Punisher Season 2,thepunisher2,2019,13 Episodes,Phase Three,Steve Lightfoot,"Action, Crime, Drama",Frank Castle is drawn into another deadly conflict while protecting a young girl from dangerous enemies.,FALSE,FALSE
41,Series,jessica-jones-season-3,Jessica Jones Season 3,jessicajones3,2019,13 Episodes,Phase Three,Melissa Rosenberg,"Action, Crime, Drama",Jessica Jones faces one final investigation as a brilliant and dangerous adversary threatens everything she stands for.,FALSE,FALSE
42,Movie,ant-man-and-the-wasp,Ant-Man and the Wasp,antman2,2018,1h 58m,Phase Three,Peyton Reed,"Action, Adventure, Comedy",Scott Lang teams up with Hope van Dyne on a mission that uncovers long-buried secrets while pushing their shrinking technology to new limits.,FALSE,FALSE
43,Movie,avengers-infinity-war,Avengers: Infinity War,avengers3,2018,2h 29m,Phase Three,Anthony Russo & Joe Russo,"Action, Adventure, Sci-Fi",The Avengers and their allies unite against a cosmic warlord determined to gather artifacts of unimaginable power before it's too late.,FALSE,FALSE
44,Movie,avengers-endgame,Avengers: Endgame,avengers4,2019,3h 1m,Phase Three,Anthony Russo & Joe Russo,"Action, Adventure, Sci-Fi","After a devastating defeat, Earth's Mightiest Heroes embark on a desperate mission that could restore hope and change the fate of the universe forever.",FALSE,FALSE
45,Series,loki-season-1,Loki,loki1,2021,6 Episodes,Phase Four,Kate Herron,"Action, Adventure, Sci-Fi","After escaping with the Tesseract, Loki is drawn into a mysterious organization that exists beyond time itself.",FALSE,FALSE
46,Series,what-if-season-1,What If...?,whatif1,2021,9 Episodes,Phase Four,Bryan Andrews,"Animation, Action, Adventure",Watch familiar moments from across the Marvel Universe unfold in surprising new ways as alternate realities reshape history.,FALSE,FALSE
47,Series,marvel-zombies,Marvel Zombies,marvelzombies,2025,4 Episodes,Phase Six,Bryan Andrews,"Animation, Action, Horror","In a universe overrun by the undead, a handful of survivors fight to stay alive against terrifying versions of Earth's Mightiest Heroes.",FALSE,FALSE
48,Series,wandavision,WandaVision,wandavision,2021,9 Episodes,Phase Four,Matt Shakman,"Drama, Mystery, Sci-Fi",Wanda Maximoff and Vision begin an idyllic suburban life that slowly reveals unsettling mysteries hiding beneath the surface.,FALSE,FALSE
49,Movie,shang-chi-and-the-legend-of-the-ten-rings,Shang-Chi and the Legend of the Ten Rings,shangchi,2021,2h 12m,Phase Four,Destin Daniel Cretton,"Action, Adventure, Fantasy",A skilled martial artist is forced to confront his past when he becomes entangled with the mysterious Ten Rings organization.,FALSE,FALSE
50,Series,the-falcon-and-the-winter-soldier,The Falcon and the Winter Soldier,falconwintersoldier,2021,6 Episodes,Phase Four,Kari Skogland,"Action, Adventure, Drama",Sam Wilson and Bucky Barnes join forces on a global mission that challenges their partnership and the legacy of Captain America.,FALSE,FALSE
51,Movie,spider-man-far-from-home,Spider-Man: Far From Home,spidermanfarfromhome,2019,2h 9m,Phase Three,Jon Watts,"Action, Adventure, Sci-Fi","Peter Parker hopes for a normal school trip across Europe, but unexpected responsibilities force him back into action.",FALSE,FALSE
52,Movie,eternals,Eternals,externals,2021,2h 37m,Phase Four,Chloé Zhao,"Action, Adventure, Fantasy",Immortal heroes who have secretly protected Earth for thousands of years reunite when an ancient threat emerges once again.,FALSE,FALSE
53,Movie,doctor-strange-in-the-multiverse-of-madness,Doctor Strange in the Multiverse of Madness,doctorstrange2,2022,2h 6m,Phase Four,Sam Raimi,"Action, Adventure, Fantasy",Doctor Strange ventures into the Multiverse where impossible realities force him to confront powerful new dangers.,FALSE,FALSE
54,Series,hawkeye,Hawkeye,hawkeye,2021,6 Episodes,Phase Four,Rhys Thomas & Bert & Bertie,"Action, Adventure, Crime",Clint Barton teams up with a gifted young archer while trying to leave his past behind before the holidays.,FALSE,FALSE
55,Series,moon-knight,Moon Knight,moonknight,2022,6 Episodes,Phase Four,Mohamed Diab,"Action, Adventure, Fantasy",A quiet museum employee discovers he shares his body with a mysterious mercenary connected to the gods of ancient Egypt.,FALSE,FALSE
56,Movie,black-panther-wakanda-forever,Black Panther: Wakanda Forever,blackpanther2,2022,2h 41m,Phase Four,Ryan Coogler,"Action, Adventure, Drama","As Wakanda mourns the loss of its king, old and new threats challenge the nation's future and force its leaders to unite.",FALSE,FALSE
57,Series,echo,Echo,echo,2024,5 Episodes,Phase Five,Sydney Freeland & Catriona McKenzie,"Action, Crime, Drama","Maya Lopez returns to her hometown, where confronting her past becomes the key to defining her future.",FALSE,FALSE
58,Series,she-hulk-attorney-at-law,She-Hulk: Attorney at Law,shehulk,2022,9 Episodes,Phase Four,Kat Coiro & Anu Valia,"Action, Comedy, Sci-Fi",Lawyer Jennifer Walters unexpectedly gains Hulk-like abilities while trying to balance a demanding legal career with extraordinary new responsibilities.,FALSE,FALSE
59,Series,ms-marvel,Ms. Marvel,msmarvel,2022,6 Episodes,Phase Four,"Adil El Arbi & Bilall Fallah, Sharmeen Obaid-Chinoy","Action, Adventure, Comedy",Teenager Kamala Khan discovers mysterious powers that transform her lifelong dream of becoming a superhero into reality.,FALSE,FALSE
60,Movie,thor-love-and-thunder,Thor: Love and Thunder,thor4,2022,1h 59m,Phase Four,Taika Waititi,"Action, Adventure, Comedy","Thor embarks on a new journey of self-discovery, but a dangerous new enemy forces him back into battle alongside unexpected allies.",FALSE,FALSE
61,Series,ironheart,Ironheart,ironheart,2025,6 Episodes,Phase Five,Sam Bailey & Angela Barnes,"Action, Adventure, Sci-Fi",Young genius Riri Williams pushes her incredible inventions to the next level while confronting powerful forces beyond science.,FALSE,FALSE
62,Special,werewolf-by-night,Werewolf by Night,werewolfbynight,2022,53m,Phase Four,Michael Giacchino,"Action, Fantasy, Horror",A secret gathering of monster hunters takes a deadly turn as an ancient relic draws out hidden rivalries and terrifying creatures.,FALSE,FALSE
63,Special,the-guardians-of-the-galaxy-holiday-special,The Guardians of the Galaxy Holiday Special,guardiansholidayspecial,2022,44m,Phase Four,James Gunn,"Adventure, Comedy, Sci-Fi",The Guardians set out on a heartfelt mission to bring Peter Quill an unforgettable Christmas celebration on Earth.,FALSE,FALSE
64,Movie,ant-man-and-the-wasp-quantumania,Ant-Man and the Wasp: Quantumania,antman3,2023,2h 5m,Phase Five,Peyton Reed,"Action, Adventure, Sci-Fi","Scott Lang and his family are pulled into the mysterious Quantum Realm, where they encounter a powerful new adversary.",FALSE,FALSE
65,Movie,guardians-of-the-galaxy-vol-3,Guardians of the Galaxy Vol. 3,guardians3,2023,2h 30m,Phase Five,James Gunn,"Action, Adventure, Sci-Fi",The Guardians embark on a dangerous mission to save one of their own while confronting painful truths about Rocket's past.,FALSE,FALSE
66,Series,secret-invasion,Secret Invasion,secretinvasion,2023,6 Episodes,Phase Five,Ali Selim,"Action, Drama, Sci-Fi",Nick Fury returns to Earth after uncovering a covert invasion that threatens humanity from within.,FALSE,FALSE
67,Movie,the-marvels,The Marvels,themarvels,2023,1h 45m,Phase Five,Nia DaCosta,"Action, Adventure, Sci-Fi","Carol Danvers, Kamala Khan, and Monica Rambeau discover their powers have become mysteriously linked, forcing them to fight as one.",FALSE,FALSE
68,Series,loki-season-2,Loki Season 2,loki2,2023,6 Episodes,Phase Five,Justin Benson & Aaron Moorhead,"Action, Adventure, Sci-Fi",Loki races against time across the multiverse to protect the fragile balance of reality itself.,FALSE,FALSE
69,Series,what-if-season-2,What If...? Season 2,whatif2,2023,9 Episodes,Phase Five,Bryan Andrews,"Animation, Action, Adventure","New alternate realities reveal unexpected heroes, villains, and possibilities across the Marvel Multiverse.",FALSE,FALSE
70,Movie,deadpool-and-wolverine,Deadpool & Wolverine,deadpoolwolverine,2024,2h 8m,Phase Five,Shawn Levy,"Action, Comedy, Sci-Fi","Deadpool is pulled into a mission that forces him to team up with a reluctant Wolverine, sending both on a multiversal adventure.",FALSE,FALSE
71,Series,agatha-all-along,Agatha All Along,agathaallalong,2024,9 Episodes,Phase Five,Jac Schaeffer,"Comedy, Fantasy, Mystery","Agatha Harkness sets out on a magical journey that reveals new allies, dangerous enemies, and long-buried secrets.",FALSE,FALSE
72,Series,what-if-season-3,What If...? Season 3,whatif3,2024,8 Episodes,Phase Five,Bryan Andrews,"Animation, Action, Adventure",The Watcher returns to explore even more alternate realities where familiar heroes face extraordinary new destinies.,FALSE,FALSE
73,Series,daredevil-born-again-season-1,Daredevil: Born Again,daredevilbornagain1,2025,9 Episodes,Phase Five,Dario Scardapane,"Action, Crime, Drama",Matt Murdock and Wilson Fisk find themselves on a collision course as old rivalries reignite in a changed New York City.,FALSE,FALSE
74,Movie,captain-america-brave-new-world,Captain America: Brave New World,captainamerica4,2025,1h 58m,Phase Five,Julius Onah,"Action, Adventure, Sci-Fi",Sam Wilson faces an international crisis that tests his leadership and the meaning of carrying Captain America's shield.,FALSE,FALSE
75,Movie,thunderbolts,Thunderbolts*,thunderbolts,2025,2h 6m,Phase Five,Jake Schreier,"Action, Adventure, Sci-Fi",A group of unlikely antiheroes is brought together for a dangerous mission that will test their loyalty and redefine their future.,FALSE,FALSE
76,Movie,the-fantastic-four-first-steps,The Fantastic Four: First Steps,fantasticfourfirststeps,2025,2h 10m,Phase Six,Matt Shakman,"Action, Adventure, Sci-Fi",Marvel's First Family begins a new adventure as they face extraordinary challenges that could reshape their future.,FALSE,FALSE
77,Series,daredevil-born-again-season-2,Daredevil: Born Again Season 2,daredevilbornagain2,2026,8 Episodes,Phase Six,Dario Scardapane,"Action, Crime, Drama",Matt Murdock's fight for justice continues as new threats emerge across Hell's Kitchen.,FALSE,FALSE
78,Series,wonder-man,Wonder Man,wonderman,2026,8 Episodes,Phase Six,Destin Daniel Cretton,"Action, Comedy, Drama",Struggling actor Simon Williams unexpectedly finds himself thrust into a world where fame and superpowers collide.,FALSE,FALSE
79,Movie,spider-man-brand-new-day,Spider-Man: Brand New Day,spidermanbrandnewday,2026,2h 10m,Phase Six,Destin Daniel Cretton,"Action, Adventure, Sci-Fi","Four years after the events of No Way Home, Peter Parker continues protecting New York while confronting dangerous new threats and the consequences of living a life no one remembers.",FALSE,FALSE
80,Movie,avengers-doomsday,Avengers: Doomsday,avengers5,2026,TBA,Phase Six,Anthony Russo & Joe Russo,"Action, Adventure, Sci-Fi","As powerful forces from across the Multiverse collide, Earth's Mightiest Heroes and unexpected allies must unite to face a threat unlike any they have encountered before.",FALSE,FALSE
